IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
193.123.255.108,443,443,true,SIN,Asia Pacific,Singapore,80,10.21
130.162.191.67,443,443,true,FRA,Europe,Frankfurt,183,10.20
143.47.229.18,443,443,true,FRA,Europe,Frankfurt,209,10.20
158.180.12.139,443,443,true,FRA,Europe,Frankfurt,195,10.19
141.147.119.56,443,443,true,FRA,Europe,Frankfurt,171,10.19
141.147.8.133,443,443,true,FRA,Europe,Frankfurt,178,10.19
89.168.115.68,443,443,true,FRA,Europe,Frankfurt,255,10.19
130.61.109.6,8443,443,true,FRA,Europe,Frankfurt,180,10.17
141.147.86.239,443,443,true,FRA,Europe,Frankfurt,173,10.16
141.147.85.212,443,443,true,FRA,Europe,Frankfurt,167,10.16
141.147.92.143,8443,443,true,LHR,Europe,London,211,10.13
143.47.240.182,443,443,true,FRA,Europe,Frankfurt,184,10.13
143.47.191.82,443,443,true,FRA,Europe,Frankfurt,176,10.12
132.145.251.53,443,443,true,FRA,Europe,Frankfurt,178,10.10
141.147.12.74,443,443,true,FRA,Europe,Frankfurt,172,10.09
84.235.166.217,443,443,true,FRA,Europe,Frankfurt,171,10.07
141.148.233.185,443,443,true,FRA,Europe,Frankfurt,181,10.06
143.47.238.179,443,443,true,FRA,Europe,Frankfurt,176,10.05
138.3.254.39,443,443,true,FRA,Europe,Frankfurt,180,10.03
84.8.144.124,443,443,true,FRA,Europe,Frankfurt,233,10.03
158.179.206.143,443,443,true,ARN,Europe,Stockholm,173,10.03
141.148.225.177,443,443,true,FRA,Europe,Frankfurt,198,10.02
143.47.183.168,443,443,true,FRA,Europe,Frankfurt,167,10.00
79.72.86.202,443,443,true,FRA,Europe,Frankfurt,167,10.00
143.47.183.174,443,443,true,FRA,Europe,Frankfurt,170,9.99
138.2.182.228,443,443,true,FRA,Europe,Frankfurt,249,9.97
130.162.172.202,443,443,true,FRA,Europe,Frankfurt,180,9.96
130.61.64.223,443,443,true,FRA,Europe,Frankfurt,179,9.94
129.151.221.152,443,443,true,ARN,Europe,Stockholm,181,9.91
130.162.186.34,443,443,true,FRA,Europe,Frankfurt,182,9.91
141.147.98.52,443,443,true,FRA,Europe,Frankfurt,178,9.87
140.238.126.142,443,443,true,FRA,Europe,Frankfurt,180,9.86
144.21.58.106,443,443,true,FRA,Europe,Frankfurt,172,9.85
141.148.235.124,443,443,true,FRA,Europe,Frankfurt,176,9.81
143.47.255.39,443,443,true,FRA,Europe,Frankfurt,182,9.77
141.148.247.100,443,443,true,FRA,Europe,Frankfurt,192,9.73
193.123.58.23,443,443,true,FRA,Europe,Frankfurt,183,9.72
130.61.109.6,2053,443,true,FRA,Europe,Frankfurt,172,9.72
79.72.78.11,443,443,true,FRA,Europe,Frankfurt,185,9.63
129.146.240.62,443,443,true,LAX,North America,Los Angeles,193,9.56
141.147.94.74,443,443,true,FRA,Europe,Frankfurt,168,9.44
138.2.171.167,443,443,true,FRA,Europe,Frankfurt,185,9.40
79.72.92.148,443,443,true,FRA,Europe,Frankfurt,199,9.40
141.147.86.116,443,443,true,FRA,Europe,Frankfurt,290,9.36
192.9.246.112,8443,443,true,SJC,North America,San Jose,200,9.23
144.21.62.141,443,443,true,FRA,Europe,Frankfurt,179,9.20
138.3.252.209,443,443,true,FRA,Europe,Frankfurt,186,9.17
143.47.177.174,443,443,true,FRA,Europe,Frankfurt,224,9.13
141.147.119.61,443,443,true,FRA,Europe,Frankfurt,171,9.11
130.61.109.6,2096,443,true,FRA,Europe,Frankfurt,172,9.10
158.101.219.94,443,443,true,FRA,Europe,Frankfurt,171,9.09
150.230.47.17,443,443,true,SJC,North America,San Jose,201,9.09
193.123.69.3,8443,443,true,MXP,Europe,Milan,80,9.08
143.47.181.58,443,443,true,FRA,Europe,Frankfurt,277,9.07
130.162.227.85,443,443,true,FRA,Europe,Frankfurt,172,9.02
141.144.251.23,443,443,true,FRA,Europe,Frankfurt,194,8.99
141.144.250.4,443,443,true,FRA,Europe,Frankfurt,179,8.96
150.230.125.82,443,443,true,FRA,Europe,Frankfurt,171,8.89
132.145.54.84,2053,443,true,LHR,Europe,London,152,8.89
130.162.169.223,443,443,true,FRA,Europe,Frankfurt,180,8.86
84.235.168.7,443,443,true,FRA,Europe,Frankfurt,290,8.61
139.185.34.131,443,443,true,DXB,Middle East,Dubai,115,8.60
130.162.175.1,443,443,true,FRA,Europe,Frankfurt,161,8.49
192.18.134.22,443,443,true,SJC,North America,San Jose,214,8.39
144.21.50.100,443,443,true,FRA,Europe,Frankfurt,172,8.38
144.24.161.124,443,443,true,FRA,Europe,Frankfurt,184,8.37
150.230.144.169,443,443,true,FRA,Europe,Frankfurt,180,8.28
89.168.52.251,8443,443,true,CDG,Europe,Paris,169,8.26
152.70.123.225,8443,443,true,SJC,North America,San Jose,199,8.15
144.21.32.250,443,443,true,FRA,Europe,Frankfurt,290,8.13
193.123.35.138,443,443,true,FRA,Europe,Frankfurt,189,8.12
130.61.23.77,443,443,true,FRA,Europe,Frankfurt,180,8.07
129.146.133.33,443,443,true,LAX,North America,Los Angeles,228,7.96
141.147.91.210,443,443,true,FRA,Europe,Frankfurt,187,7.96
130.162.166.84,443,443,true,FRA,Europe,Frankfurt,174,7.95
192.9.138.241,443,443,true,SJC,North America,San Jose,197,7.87
141.145.205.115,8443,8443,true,CDG,Europe,Paris,178,7.75
193.122.52.5,443,443,true,FRA,Europe,Frankfurt,183,7.71
141.147.112.157,443,443,true,AMS,Europe,Amsterdam,317,7.68
129.146.137.89,2096,443,true,LAX,North America,Los Angeles,207,7.64
192.9.132.79,443,443,true,SJC,North America,San Jose,194,7.62
141.148.225.142,443,443,true,AMS,Europe,Amsterdam,183,7.58
129.146.46.164,443,443,true,LAX,North America,Los Angeles,220,7.42
165.1.79.60,8443,443,true,SJC,North America,San Jose,193,7.20
141.147.169.130,443,443,true,SIN,Asia Pacific,Singapore,74,7.17
144.24.173.250,2053,443,true,FRA,Europe,Frankfurt,176,7.12
193.123.93.103,8443,443,true,CDG,Europe,Paris,84,7.12
144.24.173.250,8443,443,true,FRA,Europe,Frankfurt,184,7.11
129.146.248.140,443,443,true,LAX,North America,Los Angeles,190,7.11
164.152.26.70,2086,443,true,ORD,North America,Chicago,217,7.10
68.233.124.60,443,443,true,YYZ,North America,Toronto,244,7.09
129.146.111.62,443,443,true,LAX,North America,Los Angeles,243,7.00
84.235.164.93,443,443,true,FRA,Europe,Frankfurt,177,6.98
68.233.127.163,8443,443,true,YYZ,North America,Toronto,270,6.89
141.144.196.33,443,443,true,FRA,Europe,Frankfurt,185,6.85
150.230.149.208,443,443,true,FRA,Europe,Frankfurt,179,6.79
143.47.182.223,443,443,true,FRA,Europe,Frankfurt,190,6.79
143.47.243.144,2053,443,true,LHR,Europe,London,159,6.76
